freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.754e+02,4.130e+03,9.224e+02,5.527e+03
1.6,2.502e+03,2.542e+04,4.766e+03,3.268e+04
3.2,2.827e+03,1.379e+04,3.647e+03,2.027e+04
4.7,2.863e+03,7.969e+03,1.855e+03,1.269e+04
6.3,2.841e+03,5.734e+03,8.709e+02,9.446e+03
7.9,2.779e+03,7.317e+03,4.384e+02,1.053e+04
9.5,3.073e+03,7.782e+03,2.832e+02,1.114e+04
11.1,3.129e+03,6.729e+03,2.340e+02,1.009e+04
12.6,3.143e+03,7.858e+03,2.279e+02,1.123e+04
14.2,3.113e+03,1.005e+04,2.203e+02,1.338e+04
15.8,3.102e+03,1.079e+04,2.049e+02,1.410e+04
17.4,3.132e+03,1.137e+04,2.248e+02,1.472e+04
18.9,3.380e+03,1.401e+04,2.665e+02,1.766e+04
20.5,3.292e+03,1.487e+04,2.848e+02,1.845e+04
22.1,3.005e+03,1.404e+04,2.629e+02,1.731e+04
23.7,2.979e+03,1.523e+04,2.652e+02,1.847e+04
25.3,3.149e+03,1.720e+04,2.781e+02,2.063e+04
26.8,3.165e+03,1.924e+04,2.665e+02,2.267e+04
28.4,2.955e+03,2.114e+04,2.829e+02,2.438e+04
30.0,2.755e+03,2.248e+04,2.832e+02,2.552e+04
31.6,2.791e+03,2.313e+04,2.516e+02,2.617e+04
33.2,3.025e+03,2.782e+04,2.607e+02,3.110e+04
34.7,3.280e+03,3.232e+04,2.584e+02,3.586e+04
36.3,3.126e+03,3.586e+04,3.157e+02,3.931e+04
37.9,3.166e+03,3.852e+04,4.339e+02,4.212e+04
39.5,3.288e+03,4.107e+04,5.672e+02,4.493e+04
41.1,3.287e+03,4.582e+04,6.869e+02,4.979e+04
42.6,3.215e+03,4.671e+04,7.784e+02,5.070e+04
44.2,3.342e+03,5.099e+04,1.029e+03,5.536e+04
45.8,3.451e+03,6.255e+04,1.913e+03,6.791e+04
47.4,3.432e+03,7.126e+04,3.670e+03,7.836e+04
48.9,3.836e+03,8.193e+04,6.281e+03,9.204e+04
50.5,4.853e+03,9.474e+04,7.386e+03,1.070e+05
52.1,6.902e+03,9.954e+04,5.736e+03,1.122e+05
53.7,8.025e+03,8.273e+04,2.994e+03,9.375e+04
55.3,7.146e+03,6.091e+04,1.026e+03,6.908e+04
56.8,6.453e+03,6.292e+04,4.426e+02,6.981e+04
58.4,7.266e+03,6.574e+04,3.576e+02,7.337e+04
60.0,6.795e+03,7.422e+04,5.222e+02,8.153e+04
61.6,5.938e+03,7.044e+04,6.615e+02,7.704e+04
63.2,5.958e+03,5.030e+04,5.864e+02,5.684e+04
64.7,7.187e+03,6.955e+04,7.435e+02,7.748e+04
66.3,6.745e+03,6.920e+04,8.195e+02,7.676e+04
67.9,6.142e+03,7.061e+04,8.713e+02,7.762e+04
69.5,6.339e+03,8.030e+04,9.245e+02,8.756e+04
71.1,6.027e+03,7.816e+04,1.021e+03,8.520e+04
72.6,7.015e+03,1.014e+05,1.451e+03,1.099e+05
74.2,7.607e+03,1.051e+05,1.859e+03,1.145e+05
75.8,8.051e+03,9.584e+04,2.179e+03,1.061e+05
77.4,9.931e+03,1.349e+05,3.407e+03,1.483e+05
78.9,1.063e+04,1.485e+05,4.912e+03,1.640e+05
80.5,1.268e+04,1.636e+05,7.053e+03,1.833e+05
82.1,1.479e+04,1.737e+05,9.391e+03,1.979e+05
83.7,1.597e+04,1.799e+05,1.296e+04,2.088e+05
85.3,1.811e+04,1.759e+05,1.655e+04,2.105e+05
86.8,1.786e+04,1.610e+05,1.660e+04,1.955e+05
88.4,1.502e+04,1.493e+05,1.537e+04,1.797e+05
90.0,1.285e+04,1.443e+05,1.365e+04,1.708e+05
91.6,1.176e+04,1.453e+05,1.213e+04,1.691e+05
93.2,1.067e+04,1.469e+05,1.085e+04,1.685e+05
94.7,9.324e+03,1.527e+05,9.156e+03,1.712e+05
96.3,8.643e+03,1.628e+05,7.952e+03,1.794e+05
97.9,8.532e+03,1.714e+05,7.491e+03,1.875e+05
99.5,9.529e+03,1.826e+05,7.652e+03,1.997e+05
101.1,1.119e+04,1.964e+05,8.598e+03,2.162e+05
102.6,1.316e+04,2.058e+05,1.166e+04,2.306e+05
104.2,1.849e+04,2.216e+05,1.817e+04,2.583e+05
105.8,2.877e+04,2.456e+05,3.116e+04,3.056e+05
107.4,4.599e+04,2.650e+05,5.455e+04,3.655e+05
108.9,6.590e+04,2.777e+05,8.561e+04,4.292e+05
