freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.670e+03,1.630e+02,1.198e+02,3.953e+03
1.6,2.372e+04,7.381e+02,2.130e+02,2.467e+04
3.2,8.428e+03,8.182e+02,1.636e+02,9.410e+03
4.7,4.075e+03,8.101e+02,1.631e+02,5.048e+03
6.3,3.406e+03,9.065e+02,2.623e+02,4.575e+03
7.9,2.427e+03,9.764e+02,3.380e+02,3.741e+03
9.5,2.102e+03,9.440e+02,2.088e+02,3.255e+03
11.0,2.829e+03,9.356e+02,1.773e+02,3.942e+03
12.6,3.718e+03,9.101e+02,1.705e+02,4.798e+03
14.2,4.995e+03,8.881e+02,2.040e+02,6.087e+03
15.8,6.982e+03,8.801e+02,3.144e+02,8.176e+03
17.4,9.805e+03,8.258e+02,7.269e+02,1.136e+04
18.9,1.366e+04,9.859e+02,2.025e+03,1.667e+04
20.5,1.545e+04,1.345e+03,3.909e+03,2.071e+04
22.1,1.262e+04,1.483e+03,4.782e+03,1.888e+04
23.7,8.187e+03,1.301e+03,4.397e+03,1.388e+04
25.3,6.268e+03,1.072e+03,3.455e+03,1.080e+04
26.8,6.439e+03,9.041e+02,2.484e+03,9.828e+03
28.4,7.384e+03,8.486e+02,1.973e+03,1.021e+04
30.0,8.798e+03,8.167e+02,1.871e+03,1.149e+04
31.6,1.101e+04,9.393e+02,1.860e+03,1.381e+04
33.1,1.390e+04,1.155e+03,2.035e+03,1.709e+04
34.7,1.715e+04,1.475e+03,2.576e+03,2.120e+04
36.3,2.010e+04,2.165e+03,3.891e+03,2.615e+04
37.9,2.211e+04,3.557e+03,5.457e+03,3.113e+04
39.5,2.507e+04,5.117e+03,5.986e+03,3.617e+04
41.0,2.897e+04,6.858e+03,6.233e+03,4.206e+04
42.6,3.369e+04,8.921e+03,6.302e+03,4.891e+04
44.2,3.987e+04,1.211e+04,5.925e+03,5.790e+04
45.8,4.839e+04,1.842e+04,4.879e+03,7.169e+04
47.3,5.724e+04,2.516e+04,3.636e+03,8.603e+04
48.9,6.166e+04,2.796e+04,4.099e+03,9.372e+04
50.5,6.188e+04,2.874e+04,9.069e+03,9.969e+04
52.1,6.581e+04,4.825e+04,2.995e+04,1.440e+05
53.7,6.521e+04,7.204e+04,6.024e+04,1.975e+05
55.2,4.402e+04,4.388e+04,6.102e+04,1.489e+05
56.8,3.086e+04,1.486e+04,4.536e+04,9.108e+04
58.4,2.897e+04,8.472e+03,4.106e+04,7.850e+04
