freq,psd_x,psd_y,psd_z,psd_xyz,zv(126.6),mzv(130.0),ei(149.8),2hump_ei(145.6),3hump_ei(149.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,1.716e-11,2.722e-13,6.139e-14,1.749e-11,0.998,0.997,0.997,0.995,0.993
3.2,5.627e-01,2.490e-02,2.704e-03,5.903e-01,0.996,0.994,0.993,0.989,0.986
4.7,3.110e+01,2.519e+00,3.582e-01,3.398e+01,0.993,0.991,0.989,0.982,0.976
6.3,1.132e+02,1.265e+01,3.918e+00,1.298e+02,0.990,0.987,0.984,0.974,0.965
7.9,1.456e+02,2.827e+01,8.208e+00,1.821e+02,0.987,0.982,0.979,0.965,0.953
9.5,2.439e+02,3.595e+01,7.711e+00,2.876e+02,0.983,0.977,0.973,0.956,0.939
11.1,2.988e+02,3.290e+01,9.137e+00,3.408e+02,0.979,0.972,0.966,0.945,0.925
12.6,3.339e+02,3.251e+01,1.157e+01,3.780e+02,0.975,0.966,0.959,0.933,0.908
14.2,3.915e+02,2.933e+01,1.679e+01,4.376e+02,0.970,0.960,0.952,0.921,0.891
15.8,4.740e+02,2.767e+01,2.845e+01,5.302e+02,0.965,0.953,0.944,0.908,0.873
17.4,5.945e+02,2.521e+01,4.535e+01,6.651e+02,0.959,0.946,0.935,0.893,0.853
19.0,8.494e+02,2.812e+01,1.018e+02,9.793e+02,0.953,0.938,0.926,0.879,0.833
20.5,1.059e+03,3.419e+01,2.125e+02,1.306e+03,0.947,0.930,0.917,0.863,0.812
22.1,9.748e+02,3.584e+01,3.599e+02,1.371e+03,0.941,0.922,0.907,0.847,0.789
23.7,7.660e+02,3.319e+01,5.276e+02,1.327e+03,0.934,0.913,0.897,0.830,0.766
25.3,5.436e+02,2.891e+01,6.077e+02,1.180e+03,0.927,0.904,0.886,0.812,0.743
26.8,4.598e+02,2.916e+01,5.955e+02,1.084e+03,0.919,0.895,0.875,0.794,0.718
28.4,5.354e+02,4.019e+01,6.201e+02,1.196e+03,0.911,0.885,0.863,0.775,0.693
30.0,6.095e+02,5.566e+01,6.846e+02,1.350e+03,0.903,0.875,0.851,0.756,0.668
31.6,4.784e+02,5.480e+01,6.103e+02,1.143e+03,0.894,0.865,0.839,0.736,0.642
33.2,3.228e+02,4.646e+01,4.517e+02,8.210e+02,0.886,0.854,0.826,0.716,0.616
34.7,2.603e+02,3.810e+01,3.181e+02,6.165e+02,0.877,0.843,0.813,0.696,0.590
36.3,2.659e+02,3.303e+01,2.612e+02,5.602e+02,0.867,0.831,0.800,0.675,0.563
37.9,2.879e+02,3.125e+01,2.269e+02,5.461e+02,0.857,0.819,0.786,0.653,0.536
39.5,2.956e+02,2.928e+01,2.273e+02,5.522e+02,0.847,0.807,0.772,0.632,0.510
41.1,3.287e+02,2.468e+01,2.388e+02,5.922e+02,0.837,0.795,0.757,0.610,0.483
42.6,3.680e+02,2.099e+01,3.170e+02,7.060e+02,0.826,0.782,0.743,0.588,0.456
44.2,3.853e+02,1.859e+01,4.581e+02,8.620e+02,0.815,0.769,0.728,0.566,0.430
45.8,4.110e+02,2.149e+01,6.073e+02,1.040e+03,0.804,0.756,0.713,0.544,0.404
47.4,4.186e+02,4.349e+01,7.751e+02,1.237e+03,0.793,0.743,0.697,0.522,0.378
49.0,3.976e+02,9.393e+01,9.338e+02,1.425e+03,0.781,0.729,0.682,0.500,0.353
50.5,3.790e+02,1.604e+02,9.515e+02,1.491e+03,0.769,0.715,0.666,0.478,0.328
52.1,3.743e+02,2.044e+02,7.623e+02,1.341e+03,0.757,0.701,0.650,0.456,0.304
53.7,3.679e+02,2.153e+02,5.834e+02,1.167e+03,0.744,0.687,0.634,0.434,0.280
55.3,3.753e+02,1.812e+02,4.550e+02,1.011e+03,0.732,0.672,0.617,0.412,0.257
56.9,4.158e+02,1.363e+02,4.160e+02,9.681e+02,0.719,0.658,0.601,0.390,0.234
58.4,4.874e+02,1.078e+02,4.327e+02,1.028e+03,0.706,0.643,0.584,0.369,0.213
60.0,5.427e+02,9.677e+01,4.728e+02,1.112e+03,0.692,0.628,0.568,0.348,0.192
61.6,6.194e+02,9.315e+01,4.993e+02,1.212e+03,0.678,0.613,0.551,0.327,0.172
63.2,7.060e+02,9.855e+01,5.472e+02,1.352e+03,0.665,0.598,0.534,0.307,0.152
64.8,7.876e+02,1.130e+02,6.067e+02,1.507e+03,0.651,0.583,0.517,0.286,0.134
66.3,8.785e+02,1.409e+02,6.815e+02,1.701e+03,0.636,0.567,0.501,0.267,0.117
67.9,9.914e+02,2.013e+02,7.896e+02,1.982e+03,0.622,0.552,0.484,0.247,0.100
69.5,1.126e+03,2.864e+02,8.578e+02,2.270e+03,0.607,0.536,0.467,0.229,0.085
71.1,1.248e+03,3.474e+02,8.509e+02,2.446e+03,0.592,0.520,0.450,0.210,0.071
72.7,1.348e+03,4.151e+02,9.061e+02,2.669e+03,0.577,0.505,0.433,0.192,0.058
74.2,1.466e+03,4.775e+02,9.403e+02,2.883e+03,0.562,0.489,0.417,0.175,0.046
75.8,1.598e+03,5.229e+02,9.224e+02,3.043e+03,0.547,0.473,0.400,0.158,0.036
77.4,1.696e+03,5.808e+02,9.511e+02,3.228e+03,0.531,0.457,0.383,0.142,0.029
79.0,1.715e+03,6.696e+02,1.023e+03,3.408e+03,0.515,0.442,0.367,0.126,0.024
80.5,1.649e+03,7.195e+02,1.039e+03,3.407e+03,0.499,0.426,0.351,0.111,0.023
82.1,1.509e+03,7.076e+02,9.016e+02,3.118e+03,0.483,0.410,0.335,0.097,0.024
83.7,1.400e+03,6.850e+02,8.575e+02,2.942e+03,0.467,0.395,0.319,0.083,0.028
85.3,1.346e+03,7.115e+02,9.149e+02,2.972e+03,0.451,0.379,0.303,0.070,0.032
86.9,1.359e+03,7.458e+02,9.252e+02,3.030e+03,0.435,0.363,0.287,0.058,0.036
88.4,1.422e+03,7.645e+02,9.267e+02,3.113e+03,0.418,0.348,0.272,0.047,0.039
90.0,1.497e+03,8.285e+02,1.031e+03,3.357e+03,0.402,0.332,0.256,0.036,0.042
91.6,1.570e+03,9.077e+02,1.086e+03,3.563e+03,0.385,0.317,0.242,0.029,0.044
93.2,1.677e+03,9.513e+02,1.037e+03,3.665e+03,0.368,0.302,0.227,0.024,0.046
94.8,1.791e+03,1.019e+03,1.008e+03,3.818e+03,0.351,0.287,0.212,0.021,0.047
96.3,1.955e+03,1.092e+03,9.925e+02,4.039e+03,0.334,0.272,0.198,0.021,0.047
97.9,2.235e+03,1.134e+03,9.343e+02,4.303e+03,0.317,0.257,0.184,0.022,0.047
99.5,2.504e+03,1.195e+03,9.196e+02,4.619e+03,0.300,0.242,0.171,0.024,0.046
101.1,2.735e+03,1.309e+03,9.702e+02,5.015e+03,0.283,0.228,0.158,0.028,0.044
102.7,3.119e+03,1.411e+03,1.031e+03,5.561e+03,0.266,0.213,0.145,0.033,0.042
104.2,3.586e+03,1.552e+03,1.067e+03,6.205e+03,0.249,0.199,0.132,0.038,0.040
105.8,4.029e+03,1.759e+03,1.139e+03,6.927e+03,0.232,0.185,0.120,0.042,0.037
107.4,4.773e+03,1.999e+03,1.206e+03,7.978e+03,0.215,0.172,0.108,0.046,0.034
109.0,5.700e+03,2.218e+03,1.215e+03,9.133e+03,0.197,0.158,0.097,0.049,0.030
110.6,6.785e+03,2.524e+03,1.226e+03,1.053e+04,0.180,0.145,0.086,0.051,0.026
112.1,8.077e+03,2.938e+03,1.222e+03,1.224e+04,0.163,0.132,0.075,0.053,0.022
113.7,9.607e+03,3.316e+03,1.209e+03,1.413e+04,0.146,0.119,0.065,0.055,0.021
115.3,1.134e+04,3.735e+03,1.216e+03,1.629e+04,0.129,0.107,0.055,0.056,0.019
116.9,1.347e+04,4.335e+03,1.258e+03,1.907e+04,0.114,0.095,0.046,0.056,0.018
118.5,1.641e+04,5.075e+03,1.367e+03,2.285e+04,0.101,0.083,0.038,0.056,0.017
120.0,2.026e+04,5.831e+03,1.563e+03,2.765e+04,0.089,0.071,0.033,0.055,0.017
121.6,2.394e+04,6.383e+03,1.836e+03,3.215e+04,0.078,0.060,0.028,0.054,0.018
123.2,2.705e+04,6.810e+03,2.069e+03,3.593e+04,0.070,0.053,0.025,0.053,0.019
124.8,2.976e+04,6.986e+03,2.293e+03,3.904e+04,0.064,0.046,0.024,0.051,0.021
126.3,3.080e+04,6.734e+03,2.431e+03,3.997e+04,0.062,0.041,0.023,0.049,0.023
127.9,3.109e+04,6.423e+03,2.503e+03,4.002e+04,0.064,0.037,0.025,0.046,0.026
129.5,3.072e+04,5.930e+03,2.594e+03,3.924e+04,0.068,0.035,0.026,0.043,0.030
131.1,2.988e+04,5.412e+03,2.661e+03,3.795e+04,0.076,0.035,0.029,0.040,0.034
132.7,2.807e+04,4.675e+03,2.644e+03,3.539e+04,0.086,0.036,0.032,0.037,0.038
134.2,1.904e+04,2.932e+03,1.859e+03,2.383e+04,0.097,0.040,0.036,0.033,0.041
135.8,3.542e+03,6.611e+02,4.284e+02,4.632e+03,0.108,0.044,0.040,0.030,0.045
137.4,4.400e+02,1.396e+02,1.171e+02,6.967e+02,0.122,0.048,0.043,0.026,0.048
139.0,3.918e+02,1.336e+02,9.957e+01,6.250e+02,0.138,0.054,0.046,0.022,0.050
140.6,3.785e+02,1.045e+02,1.002e+02,5.831e+02,0.154,0.061,0.049,0.018,0.052
142.1,2.966e+02,9.700e+01,7.220e+01,4.658e+02,0.170,0.068,0.051,0.017,0.054
143.7,3.369e+02,8.799e+01,8.846e+01,5.133e+02,0.186,0.074,0.053,0.016,0.055
145.3,2.507e+02,7.700e+01,6.742e+01,3.952e+02,0.202,0.081,0.055,0.015,0.056
146.9,2.534e+02,8.047e+01,7.937e+01,4.133e+02,0.218,0.087,0.055,0.015,0.057
148.5,2.248e+02,6.748e+01,7.562e+01,3.679e+02,0.234,0.093,0.056,0.016,0.057
150.0,1.978e+02,6.364e+01,7.019e+01,3.316e+02,0.250,0.098,0.056,0.018,0.057
151.6,1.786e+02,5.874e+01,6.952e+01,3.068e+02,0.266,0.103,0.056,0.020,0.056
153.2,1.482e+02,5.202e+01,6.138e+01,2.616e+02,0.281,0.107,0.055,0.024,0.055
154.8,1.634e+02,4.552e+01,6.139e+01,2.703e+02,0.296,0.112,0.054,0.028,0.054
156.4,1.253e+02,4.390e+01,5.642e+01,2.256e+02,0.312,0.116,0.052,0.031,0.052
157.9,1.311e+02,4.334e+01,5.767e+01,2.321e+02,0.327,0.119,0.050,0.035,0.050
159.5,1.044e+02,3.840e+01,4.817e+01,1.909e+02,0.341,0.122,0.047,0.038,0.048
161.1,1.048e+02,3.927e+01,4.842e+01,1.925e+02,0.356,0.125,0.045,0.042,0.045
162.7,9.411e+01,3.864e+01,4.382e+01,1.766e+02,0.371,0.127,0.041,0.045,0.042
164.3,8.092e+01,3.312e+01,4.048e+01,1.545e+02,0.385,0.129,0.038,0.048,0.038
165.8,8.445e+01,3.500e+01,4.236e+01,1.618e+02,0.399,0.131,0.034,0.050,0.035
167.4,7.335e+01,3.092e+01,3.876e+01,1.430e+02,0.413,0.132,0.032,0.052,0.031
169.0,8.277e+01,3.049e+01,4.456e+01,1.578e+02,0.427,0.133,0.030,0.054,0.027
170.6,6.807e+01,2.768e+01,4.585e+01,1.416e+02,0.440,0.133,0.029,0.056,0.023
172.2,8.185e+01,2.945e+01,4.458e+01,1.559e+02,0.454,0.133,0.028,0.057,0.021
