freq,psd_x,psd_y,psd_z,psd_xyz,zv(129.2),mzv(115.6),ei(149.8),2hump_ei(138.2),3hump_ei(125.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,2.818e-13,1.502e-11,1.678e-13,1.547e-11,0.998,0.997,0.997,0.995,0.992
3.2,3.277e-02,5.140e-01,9.172e-03,5.560e-01,0.996,0.993,0.993,0.988,0.982
4.7,3.918e+00,2.428e+01,6.232e-01,2.882e+01,0.993,0.989,0.989,0.981,0.970
6.3,1.908e+01,8.875e+01,3.585e+00,1.114e+02,0.990,0.984,0.984,0.972,0.956
7.9,3.511e+01,1.564e+02,6.920e+00,1.984e+02,0.987,0.979,0.979,0.963,0.939
9.5,4.843e+01,2.486e+02,7.291e+00,3.044e+02,0.984,0.973,0.973,0.952,0.922
11.1,4.782e+01,2.990e+02,6.538e+00,3.534e+02,0.980,0.967,0.966,0.941,0.902
12.6,4.320e+01,3.113e+02,5.750e+00,3.602e+02,0.975,0.960,0.959,0.928,0.880
14.2,3.841e+01,3.373e+02,4.597e+00,3.803e+02,0.971,0.952,0.952,0.914,0.858
15.8,3.404e+01,3.800e+02,4.777e+00,4.188e+02,0.966,0.944,0.944,0.900,0.833
17.4,3.300e+01,4.077e+02,4.492e+00,4.452e+02,0.960,0.935,0.935,0.885,0.807
19.0,3.028e+01,4.533e+02,4.060e+00,4.877e+02,0.955,0.926,0.926,0.869,0.781
20.5,2.921e+01,5.108e+02,3.570e+00,5.436e+02,0.949,0.917,0.917,0.852,0.752
22.1,2.983e+01,5.730e+02,3.335e+00,6.062e+02,0.942,0.907,0.907,0.834,0.724
23.7,2.594e+01,6.381e+02,3.169e+00,6.672e+02,0.936,0.896,0.897,0.816,0.694
25.3,2.315e+01,6.818e+02,3.111e+00,7.081e+02,0.929,0.885,0.886,0.796,0.663
26.9,2.415e+01,6.359e+02,3.199e+00,6.633e+02,0.922,0.874,0.875,0.777,0.632
28.4,2.371e+01,5.888e+02,3.317e+00,6.158e+02,0.914,0.862,0.863,0.757,0.601
